Model,Best CV F1,Fit time (s)
Logistic Regression,0.8939498008136478,0.3457040786743164
Naive Bayes,0.869583372609364,0.016082048416137695
Linear SVM,0.8947495599306119,0.5662260055541992
Random Forest,0.8498992606406518,4.85709547996521
